text,class
"A kangaroo is a marsupial from the family Macropodidae (macropods, meaning 'large foot'",0
" In common use the term is used to describe the largest species from this family, the Red Kangaroo, the Antilopine Kangaroo, and the Eastern and Western Grey Kangaroo of the Macropus genus",0
" The family also includes many smaller species which include the wallabies, tree-kangaroos, wallaroos, pademelons and the Quokka, some 63 living species in all",0
"  Kangaroos are endemic to the continent of Australia, while the smaller macropods are found in Australia and New Guinea",0
" They are not farmed to any extent, but wild kangaroos are shot for meat, over which there is controversy",0
"  Steve Dow: ""An industry that's under the gun""",0
" Sydney Morning Herald online, September 26, 2007",0
"  on some of its currency,  The Australian currency URL accessed January 6, 2007",0
"  and is used by many Australian organisations, including Qantas",0
"  The Kangaroo symbol URL accessed January 6, 2007",0
"  Etymology of mammal names URL accessed January 7, 2007",0
"  The name was first recorded as ""Kangooroo or Kanguru"" on 4 August,1770, by Lieutenant (later Captain) James Cook on the banks of the Endeavour River at the site of modern Cooktown, when HM Bark Endeavour was beached for almost seven weeks to repair damage sustained on the Great Barrier Reef",0
""" According to this legend, Captain James Cook and naturalist Sir Joseph Banks were exploring Australia when they happened upon the animal",0
 They asked a nearby local what the creatures were called,0
" The local responded ""Kangaroo"", meaning ""I don't understand you"", which Cook took to be the name of the creature",0
"  Male kangaroos are called bucks, boomers, jacks, or old men; females are does, flyers, or jills, and the young ones are joeys",0
"  Animal Bytes: Kangaroo and Wallaby URL accessed January 7, 2007",0
"  The collective noun for kangaroos is a mob, troop, or court",0
 Kangaroos are sometimes colloquially referred to as roos,0
" Fewer in numbers, the Red Kangaroo occupies the arid and semi-arid centre of the continent",0
 A large male can be 2 metres (6 ft 7 in) tall and weigh 90 kg (200 lb),0
" It is found in the southern part of Western Australia, South Australia near the coast, and the Darling River basin",0
" Like them, it is a creature of the grassy plains and woodlands, and gregarious",0
" Early explorers described them as creatures that had heads like deer (without antlers), stood upright like men, and hopped like frogs",0
"  Combined with the two-headed appearance of a mother kangaroo, this led many back home to dismiss them as travellers' tales for quite some time",0
" Like all marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development",0
" The comfortable hopping speed for Red Kangaroo is about 20 25 km/h (13 16 mph), but speeds of up to 70 km/h (44 mph) can be attained, over short distances, while it can sustain a speed of 40 km/h (25 mph) for  nearly two kilometres",0
"    This fast and energy-efficient method of travel has evolved because of the need to regularly cover large distances in search of food and water, rather than the need to escape predators",0
" To move at slow speeds, it uses its tail to form a tripod with its two forelimbs",0
" It then raises its hind feet forward, in a form of locomotion called ""crawl-walking",0
  Eastern grey kangaroos are predominantly grazers eating a wide variety of grasses whereas some other species (e,0
 red kangaroos and swamp wallabies) include significant amounts of shrubs in the diet,0
 The smaller species of kangaroos also consume hypogeal fungi,0
"  Many species are nocturnal  Archives URL accessed January 7, 2007",0
"  and crepuscular,  Columbus Zoo article URL accessed January 7, 2007",0
"  usually spending the days resting in shade and the cool evenings, nights and mornings moving about and feeding",0
" Its incisors are able to crop grass close to the ground, and its molars chop and grind the grass",0
" Since the two sides of the lower jaw are not joined together, the lower incisors are farther apart, giving the kangaroo a wider bite",0
" The silica in grass is abrasive, so kangaroo molars move forward as they are ground down, and eventually fall out, replaced by new teeth that grow in the back",0
" The hydrogen byproduct of fermentation is instead converted into acetate, which is then used to provide further energy",0
" Scientists are interested in the possibility of transferring the bacteria responsible from kangaroos to cattle, since the greenhouse gas effect of methane is 23 times greater than that of carbon dioxide",0
"  Radio Australia - Innovations: 
 ""Methane In Agriculture",0
" The Thylacine, considered by palaeontologists to have once been a major natural predator of the kangaroo, is now extinct",0
" Other extinct predators included the Marsupial Lion, Megalania and the Wonambi",0
" However, with the arrival of humans in Australia at least 50,000 years ago and the introduction of the dingo about 5,000 years ago, kangaroos have had to adapt",0
   The mere barking of a dog can set a full-grown male boomer into a wild frenzy,0
   Wedge-tailed Eagles and other raptors usually eat kangaroo carrion,0
 Goannas and other carnivorous reptiles also pose a danger to smaller kangaroo species when other food sources are lacking,0
" Kangaroos and wallabies are adept swimmers, and often flee into waterways if presented with the option",0
" If pursued into the water, a large kangaroo may use its forepaws to hold the predator underwater so as to drown it",0
"  Canadian Museum of Nature - Kangaroo URL accessed January 6, 2007",0
  Another defensive tactic described by witnesses is catching the attacking dog  with the forepaws and disembowelling it with the hind legs,0
" As with all marsupials, the young are born at a very early stage of development   after a gestation of 31 36 days",0
" At this stage, only the forelimbs are somewhat developed, to allow the newborn to climb to the pouch and attach to a teat",0
" In comparison, a human embryo at a similar stage of development would be about seven weeks old, and premature babies born at less than 23 weeks are usually not mature enough to survive",0
 The joey will usually stay in the pouch for about nine months (180 320 days for the Western Grey) before starting to leave the pouch for small periods of time,0
 It is usually fed by its mother until reaching 18 months,0
" This is known as diapause, and will occur in times of drought and in areas with poor food sources",0
  The composition of the milk produced by the mother varies according to the needs of the joey,0
" In addition, the mother is able to produce two different kinds of milk simultaneously for the newborn and the older joey still in the pouch",0
" They store elastic strain energy in the tendons of their large hind legs, providing most of the energy required for each hop by the spring action of the tendons rather than by any muscular effort",0
" This is true in all animal species which have muscles connected to their skeleton through elastic elements such as tendons, but the effect is more pronounced in kangaroos",0
" Studies of kangaroos and wallabies have demonstrated that, beyond the minimum energy expenditure required to hop at all, increased speed requires very little extra effort (much less than the same speed increase in, say, a horse, dog or human), and that the extra energy is required to carry extra weight",0
" For kangaroos, the key benefit of hopping is not speed to escape predators the top speed of a kangaroo is no higher than that of a similarly-sized quadruped, and the Australian native predators are in any case less fearsome than those of other continents but economy: in an infertile continent with highly variable weather patterns, the ability of a kangaroo to travel long distances at moderately high speed in search of food sources is crucial to survival",0
"
 
 A sequencing project of the Kangaroo genome was started in 2004 as a collaboration between Australia (mainly funded by the state of Victoria) and the National Institutes of Health in the US",0
"  Kangaroo hops in line for genome sequencing URL accessed January 6, 2007",0
"  The genome of a marsupial such as the kangaroo is of great interest to scientists studying comparative genomics because marsupials are at an ideal degree of evolutionary divergence from humans: mice are too close and haven't developed many different functions, while birds are genetically too remote",0
 The dairy industry has also expressed some interest in this project,0
"
 
 
 
 Eye disease  is rare but not new among kangaroos",0
"  The first official report of kangaroo blindness took place in 1994, in central New South Wales",0
"  The following year, reports of blind kangaroos appeared in Victoria and South Australia",0
"  By 1996, the disease had spread ""across the desert to Western Australia""",0
  Australian authorities were concerned that the disease could spread to other livestock and possibly humans,0
"  Researchers at the Australian Animal Health Laboratories in Geelong detected a virus called the Wallal virus in two species of midge, believed to have been the carriers",0
       Veterinarians also discovered that less than three percent of kangaroos exposed to the virus developed blindness,0
"
 
 
 
 Before European settlement, the kangaroo was a very important animal for Australian Aborigines, for its meat, hide, bones and sinews",0
" In addition, there were important Dreaming stories and ceremonies involving the kangaroo",0
  Aherrenge is a current kangaroo dreaming site in the Northern Territory,0
 The game of Marn grook was played using a ball made from kangaroo  by the Kurnai people,0
"
 
 Unlike many of the smaller macropods, kangaroos have fared well since European settlement",0
" European settlers cut down forests to create vast grasslands for sheep and cattle grazing, added stock watering points in arid areas, and have substantially reduced the number of dingoes",0
"
 
 Kangaroos are shy and retiring by nature, and in normal circumstances present no threat to humans",0
" Male kangaroos often ""box"" amongst each other, playfully, for dominance, or in competition for mates",0
" The dexterity of their forepaws is utilised in both punching and grappling with the foe, but the real danger lies in a serious kick with the hindleg",0
 The sharpened toenails can disembowel an opponent,0
"
 
 There are very few records of kangaroos attacking humans without provocation, however several such unprovoked attacks in 2004 spurred fears of a rabies-like disease possibly affecting the marsupials",0
" The only reliably documented case of a fatality from a kangaroo attack occurred in New South Wales, in 1936",0
 A hunter was killed when he tried to rescue his two dogs from a heated fray,0
